"","country","crop_type","site","colony_code","total_production","queenCocoon_production","wt_change","wt_max","wt_1","wt_2","wt_3","cropland_prop","cropland_prop_centered","pesticideRisk","pesticideRisk_log_centered","MCR","uniqueCompound_count"
"225","IRE","APP",14,"IRE_APP_14_B2",416,2,0.430054053086427,844,549,759,844,0.3364,-1.01211021186114,4.49778703830156,-0.45069842685087,1.44870582512736,11
"226","IRE","APP",14,"IRE_APP_14_B3",296,1,0.277857432023263,709,537,709,599,0.3364,-1.01211021186114,4.49778703830156,-0.45069842685087,1.44870582512736,11
"227","ITA","OSR",1,"ITA_OSR_01_B1",357,110,0.330241686870577,864,621,626,864,0.5659,0.0482362312034476,0.30148764555524,-1.15353824743918,1.4897036603906,3
"228","ITA","OSR",1,"ITA_OSR_01_B2",773,38,0.716009823982716,1283,627,758,1283,0.5659,0.0482362312034476,0.30148764555524,-1.15353824743918,1.4897036603906,3
"229","ITA","OSR",1,"ITA_OSR_01_B3",610,193,0.70598844850827,1254,619,808,1254,0.5659,0.0482362312034476,0.30148764555524,-1.15353824743918,1.4897036603906,3
"230","ITA","OSR",3,"ITA_OSR_03_B1",1844,70,1.37210972612793,2520,639,797,2520,0.6755,0.554615186148455,0.501687450230248,-1.03691645933403,2.97938404879385,4
"231","ITA","OSR",3,"ITA_OSR_03_B2",827,180,0.659394893755054,1340,693,1018,1340,0.6755,0.554615186148455,0.501687450230248,-1.03691645933403,2.97938404879385,4
"232","ITA","OSR",3,"ITA_OSR_03_B3",958,263,0.912014175106895,1750,703,1170,1750,0.6755,0.554615186148455,0.501687450230248,-1.03691645933403,2.97938404879385,4
"233","ITA","OSR",4,"ITA_OSR_04_B1",1174,149,0.84863208340034,1500,642,1012,1500,0.7963,1.11274089561339,13.797128692576,-0.131843972340851,1.29594458790982,16
"234","ITA","OSR",4,"ITA_OSR_04_B2",790,376,0.712536303995786,1354,664,758,1354,0.7963,1.11274089561339,13.797128692576,-0.131843972340851,1.29594458790982,16
"235","ITA","OSR",4,"ITA_OSR_04_B3",1308,18,0.903551706096725,1560,632,857,1560,0.7963,1.11274089561339,13.797128692576,-0.131843972340851,1.29594458790982,16
"236","ITA","OSR",5,"ITA_OSR_05_B1",963,146,0.797392424852271,1394,628,677,1394,0.6985,0.660880842751878,0.241168626721464,-1.20046812574105,2.13243838364242,6
"237","ITA","OSR",5,"ITA_OSR_05_B2",566,123,0.528873693637694,1025,604,695,1025,0.6985,0.660880842751878,0.241168626721464,-1.20046812574105,2.13243838364242,6
"238","ITA","OSR",5,"ITA_OSR_05_B3",775,182,0.870680220622103,1500,628,774,1500,0.6985,0.660880842751878,0.241168626721464,-1.20046812574105,2.13243838364242,6
"239","ITA","OSR",6,"ITA_OSR_06_B1",1087,99,0.630366644053272,1281,682,884,1281,0.6159,0.279248528167411,82.0308237526514,0.380300585233434,1.0098491560459,8
"240","ITA","OSR",6,"ITA_OSR_06_B2",870,136,0.79421489116489,1498,677,809,1498,0.6159,0.279248528167411,82.0308237526514,0.380300585233434,1.0098491560459,8
"241","ITA","OSR",6,"ITA_OSR_06_B3",1111,41,0.971167342099989,1751,663,923,1751,0.6159,0.279248528167411,82.0308237526514,0.380300585233434,1.0098491560459,8
"242","ITA","OSR",7,"ITA_OSR_07_B1",1521,49,0.863298201733645,1470,620,965,1470,0.5359,-0.0903711469749304,0.103970450480077,-1.34875329323149,1.83863533480557,3
"243","ITA","OSR",7,"ITA_OSR_07_B2",935,378,0.849360142000767,1618,692,870,1618,0.5359,-0.0903711469749304,0.103970450480077,-1.34875329323149,1.83863533480557,3
"244","ITA","OSR",7,"ITA_OSR_07_B3",802,100,0.499154729622883,1079,655,910,1079,0.5359,-0.0903711469749304,0.103970450480077,-1.34875329323149,1.83863533480557,3
