IR1_190627_x,IR1_190627_y,IR2_190627_x,IR2_190627_y
506.2441,0.3111815,506.2441,0.3073948
506.7263,0.3178331,506.7263,0.3078518
507.2084,0.3246495,507.2084,0.3090304
507.6906,0.3314271,507.6906,0.3116253
508.1727,0.338185,508.1727,0.3160749
508.6548,0.3450725,508.6548,0.3223709
509.137,0.3522454,509.137,0.3300766
509.6191,0.3598289,509.6191,0.3385365
510.1012,0.367991,510.1012,0.3471861
510.5834,0.377079,510.5834,0.3558474
511.0655,0.3876988,511.0655,0.3648418
511.5476,0.4006459,511.5476,0.374831
512.0298,0.416667,512.0298,0.386444
512.5119,0.4361452,512.5119,0.3998895
512.9941,0.4588095,512.9941,0.4147401
513.4761999999999,0.4835724,513.4761999999999,0.4299993
513.9583,0.5085648,513.9583,0.444427
514.4405,0.5314246,514.4405,0.4570145
514.9226,0.5497703,514.9226,0.4673397
515.4047,0.5616688,515.4047,0.4755609
515.8869,0.5658626,515.8869,0.481973
516.369,0.5617408,516.369,0.4863522
516.8511,0.5492709,516.8511,0.4875003
517.3333,0.5291033000000001,517.3333,0.4834241
517.8154,0.5027302,517.8154,0.47229
518.2975,0.4724009,518.2975,0.4536307
518.7797,0.440616,518.7797,0.4288047
519.2618,0.4094728,519.2618,0.4003212
519.744,0.3802411,519.744,0.3707117
520.2261,0.3533542,520.2261,0.3418233
520.7083,0.3287015,520.7083,0.3147345
521.1904,0.3060106,521.1904,0.2900123
521.6725,0.2851269,521.6725,0.2679811
522.1547,0.2661114,522.1547,0.2488603
522.6368,0.2491677,522.6368,0.2327763
523.119,0.234497,523.119,0.2197199
523.6011,0.2221678,523.6011,0.2095189
524.0832,0.2120596,524.0832,0.2018499
524.5654,0.2038782,524.5654,0.1962892
525.0475,0.1972392,525.0475,0.1923944
525.5296,0.1917824,525.5296,0.1897968
526.0118,0.1872826,526.0118,0.1882865
526.4939000000001,0.1836809,526.4939000000001,0.1878144
526.976,0.181013,526.976,0.188403
527.4582,0.179277,527.4582,0.1900144
527.9403,0.1783272,527.9403,0.1924524
528.4224,0.1778453,528.4224,0.1953502
528.9046,0.1773962,528.9046,0.1982354
529.3867,0.1765446,529.3867,0.2006491
529.8688,0.1749972,529.8688,0.202278
530.351,0.1727043,530.351,0.2030348
530.8330999999999,0.1698769,530.8330999999999,0.2030435
531.3152,0.1669028,531.3152,0.2025321
531.7974,0.1642059,531.7974,0.2016918
532.2795,0.1621143,532.2795,0.2005876
532.7617,0.1607873,532.7617,0.1991618
533.2438,0.1602082,533.2438,0.1973215
533.726,0.160237,533.726,0.19506
534.2080999999999,0.1606835,534.2080999999999,0.1925272
534.6902,0.1613713,534.6902,0.1900153
535.1724,0.1621637,535.1724,0.1878605
535.6545,0.1629559,535.6545,0.1863264
536.1367,0.1636542,536.1367,0.1855223
536.6188,0.1641711,536.6188,0.1853935
537.101,0.1644391,537.101,0.1857744
537.5830999999999,0.1644374,537.5830999999999,0.1864791
538.0652,0.1642033,538.0652,0.1873766
538.5474,0.1638126,538.5474,0.1884131
539.0295,0.1633342,539.0295,0.1895761
539.5116,0.1627863,539.5116,0.1908332
539.9938,0.1621161,539.9938,0.1920891
540.4759,0.1612241,540.4759,0.1931917
540.958,0.1600247,540.958,0.1939862
541.4402,0.158511,541.4402,0.1943914
541.9223,0.1567876,541.9223,0.1944431
542.4044,0.1550486,542.4044,0.1942777
542.8866,0.1535138,542.8866,0.1940639
543.3687,0.1523609,543.3687,0.1939315
543.8508,0.1516778,543.8508,0.1939354
544.333,0.1514558,544.333,0.1940693
