DateTime,West Village A
2024-01-16 16:30:00,37.571
2024-01-16 17:00:00,42.905
2024-01-16 17:30:00,42.169
2024-01-16 18:00:00,39.892
2024-01-16 18:30:00,46.044
2024-01-16 19:00:00,45.714
2024-01-16 19:30:00,44.923
2024-01-16 20:00:00,44.354
2024-01-16 20:30:00,42.002
2024-01-16 21:00:00,42.933
2024-01-16 21:30:00,42.386
2024-01-16 22:00:00,31.24
2024-01-16 22:30:00,29.162
2024-01-16 23:00:00,20.778
2024-01-16 23:30:00,15.448
2024-01-17 00:00:00,19.797
2024-01-17 00:30:00,25.44
2024-01-17 01:00:00,27.467
2024-01-17 01:30:00,29.121
2024-01-17 02:00:00,31.488
2024-01-17 02:30:00,40.633
2024-01-17 03:00:00,43.64
2024-01-17 03:30:00,45.263
2024-01-17 04:00:00,45.433
2024-01-17 04:30:00,44.733
2024-01-17 05:00:00,44.072
2024-01-17 05:30:00,43.889
2024-01-17 06:00:00,41.337
2024-01-17 06:30:00,38.743
2024-01-17 07:00:00,38.654
2024-01-17 07:30:00,38.707
2024-01-17 08:00:00,38.205
